Start Me Up - Remastered,['The Rolling Stones'],0.631,0.932,0.0918,0.0436,0.971,122.429,1981
Immigrant Song - Remaster,['Led Zeppelin'],0.564,0.932,0.349,0.013,0.619,112.937,1970
The Final Countdown,['Europe'],0.529,0.843,0.0608,0.0628,0.188,117.662,1986
A Horse with No Name,['America' 'George Martin'],0.654,0.506,0.155,0.686,0.831,123.179,1972
Baba O'Riley,['The Who'],0.489,0.724,0.287,0.313,0.15,117.292,1971
You Can't Hurry Love - 2016 Remaster,['Phil Collins'],0.62,0.936,0.0679,0.0261,0.763,97.527,1982
The Boys Of Summer,['Don Henley'],0.516,0.549,0.184,0.501,0.907,176.941,1984
Dancing In the Dark,['Bruce Springsteen'],0.527,0.942,0.188,0.0115,0.495,148.723,1984
Walk Of Life,['Dire Straits'],0.462,0.918,0.126,0.405,0.802,172.427,1985
We Built This City,['Starship'],0.661,0.908,0.0708,0.052,0.656,144.091,1985
Don't Go Breaking My Heart,['Elton John' 'Kiki Dee'],0.729,0.844,0.0604,0.149,0.777,131.459,1975
Come and Get Your Love - Single Version,['Redbone'],0.731,0.804,0.0685,0.172,0.957,107.383,1973
Another Brick in the Wall Pt. 2,['Pink Floyd'],0.694,0.394,0.247,0.0781,0.719,104.126,1979
You Can Call Me Al,['Paul Simon'],0.776,0.763,0.077,0.182,0.82,128.433,1986
La Incondicional,['Luis Miguel'],0.374,0.727,0.134,0.237,0.283,155.127,1988
Roxanne,['The Police'],0.618,0.748,0.0473,0.0384,0.663,134.114,1978
Johnny B. Goode,['Chuck Berry'],0.534,0.803,0.307,0.741,0.969,167.983,1959
Go Your Own Way - 2004 Remaster,['Fleetwood Mac'],0.583,0.947,0.0679,0.0185,0.803,135.448,1977
Easy,['Commodores'],0.589,0.384,0.0596,0.112,0.354,132.909,1977
Lovely Day,['Bill Withers'],0.69,0.651,0.105,0.292,0.706,97.918,1977
Wonderful Tonight,['Eric Clapton'],0.572,0.214,0.125,0.649,0.485,95.542,1977
For What It's Worth,['Buffalo Springfield'],0.653,0.519,0.101,0.406,0.822,98.883,1966
Come On Eileen,['Dexys Midnight Runners'],0.45,0.656,0.259,0.664,0.782,106.61,1982
Nothing's Gonna Stop Us Now,['Starship'],0.643,0.802,0.0719,0.0299,0.53,95.99,1987
My Sweet Lord - Remastered 2014,['George Harrison'],0.537,0.701,0.0832,0.0972,0.583,120.919,1970
La Grange - 2005 Remaster,['ZZ Top'],0.545,0.64,0.196,0.00249,0.606,80.544,1973
I Say a Little Prayer,['Aretha Franklin'],0.592,0.355,0.0585,0.478,0.499,133.032,1968
"Mrs. Robinson - From ""The Graduate"" Soundtrack",['Simon & Garfunkel'],0.606,0.457,0.0747,0.713,0.813,92.033,1968
Yesterday - Remastered 2009,['The Beatles'],0.332,0.179,0.0886,0.879,0.315,96.529,1965
Piano Man,['Billy Joel'],0.331,0.55,0.192,0.605,0.429,177.734,1973
The Joker,['Steve Miller Band'],0.596,0.448,0.206,0.365,0.796,83.293,1973
I Want You Back,['The Jackson 5'],0.469,0.538,0.37,0.305,0.886,196.605,1969
"Rasputin - 7"" Version",['Boney M.'],0.694,0.719,0.44,0.47,0.972,126.212,1984
Heaven,['Bryan Adams'],0.382,0.589,0.122,0.0465,0.335,140.059,1984
At Last,['Etta James'],0.274,0.348,0.334,0.547,0.328,87.43,1960
