The Less I Know The Better,['Tame Impala'],0.64,0.74,0.167,0.0115,0.785,116.879,2015
Electric Love,['BØRNS'],0.611,0.797,0.26,0.00543,0.518,120.041,2015
Hayloft,['Mother Mother'],0.527,0.922,0.422,0.00475,0.49,95.975,2008
Shallow,"['Lady Gaga', 'Bradley Cooper']",0.572,0.385,0.231,0.371,0.323,95.799,2018
In Your Eyes,['The Weeknd'],0.667,0.719,0.0736,0.00285,0.717,100.021,2020
Hope,['XXXTENTACION'],0.592,0.457,0.146,0.661,0.225,146.04,2018
Why'd You Only Call Me When You're High?,['Arctic Monkeys'],0.691,0.631,0.104,0.0483,0.8,92.004,2013
Stuck with U (with Justin Bieber),"['Ariana Grande', 'Justin Bieber']",0.597,0.45,0.382,0.223,0.537,178.765,2020
POPSTAR (feat. Drake),"['DJ Khaled', 'Drake']",0.8,0.56,0.134,0.057,0.45,163.071,2020
my ex's best friend (with blackbear),"['Machine Gun Kelly', 'blackbear']",0.731,0.675,0.141,0.00473,0.298,124.939,2020
La Tóxica,['Farruko'],0.659,0.701,0.0866,0.0882,0.623,91.97,2020
At My Worst,['Pink Sweat$'],0.813,0.415,0.131,0.777,0.667,91.921,2020
Mood Swings (feat. Lil Tjay),"['Pop Smoke', 'Lil Tjay']",0.48,0.602,0.0848,0.487,0.269,179.798,2020
Maniac,['Conan Gray'],0.628,0.639,0.354,0.00162,0.493,108.045,2020
Ponte Pa' Mi,['Justin Quiles'],0.878,0.713,0.0822,0.0581,0.615,92.028,2020
Parce (feat. Justin Quiles),"['Maluma', 'Lenny Tavárez', 'Justin Quiles']",0.691,0.739,0.11,0.422,0.884,83.897,2020
"Lemonade (feat. Gunna, Don Toliver & NAV)","['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",0.8,0.658,0.111,0.25,0.462,140.042,2020
Come & Go (with Marshmello),"['Juice WRLD', 'Marshmello']",0.625,0.814,0.158,0.0172,0.535,144.991,2020
La Curiosidad,"['Jay Wheeler', 'DJ Nelson', 'Myke Towers']",0.845,0.677,0.108,0.269,0.68,90.013,2020
Coração Na Cama,['Hugo & Guilherme'],0.764,0.794,0.34,0.663,0.721,110.013,2020
hot girl bummer,['blackbear'],0.782,0.559,0.385,0.125,0.685,129.992,2020
Polvo,"['Nicky Jam', 'Myke Towers']",0.763,0.621,0.106,0.0105,0.582,82.042,2020
Love Not War (The Tampa Beat),"['Jason Derulo', 'Nuka']",0.738,0.85,0.23,0.105,0.865,98.013,2020
Godzilla (feat. Juice WRLD),"['Eminem', 'Juice WRLD']",0.808,0.745,0.292,0.145,0.829,165.995,2020
Snowman,['Sia'],0.716,0.512,0.0928,0.483,0.326,104.957,2018
Esquema Preferido,"['DJ Ivis', 'Tarcísio do Acordeon']",0.669,0.812,0.0773,0.256,0.917,159.934,2020
rockstar (feat. 21 Savage),"['Post Malone', '21 Savage']",0.585,0.52,0.131,0.124,0.129,159.801,2018
Girls Like Us,['Zoe Wees'],0.444,0.648,0.059,0.288,0.171,125.706,2021
LOCATION,"['KAROL G', 'Anuel AA', 'J Balvin']",0.772,0.758,0.295,0.0433,0.654,115.977,2021
Travesuras - Remix,"['Nio Garcia', 'Casper Magico', 'Ozuna', 'Wisin & Yandel', 'Myke Towers', 'Flow La Movie']",0.739,0.788,0.282,0.0513,0.473,175.996,2021
Cover Me In Sunshine,"['P!nk', 'Willow Sage Hart']",0.476,0.594,0.0785,0.0599,0.314,159.702,2021
Wasted Love (feat. Lagique),"['Ofenbach', 'Lagique']",0.734,0.855,0.0901,0.0821,0.54,121.955,2021
If the World Was Ending - feat. Julia Michaels,"['JP Saxe', 'Julia Michaels']",0.464,0.473,0.109,0.866,0.604,75.801,2019
when the party's over,['Billie Eilish'],0.367,0.111,0.0897,0.978,0.198,82.642,2019
Dior,['Pop Smoke'],0.548,0.805,0.408,0.212,0.648,142.094,2019
Star Shopping,['Lil Peep'],0.585,0.471,0.115,0.0967,0.323,93.099,2019
Don't Start Now,['Dua Lipa'],0.794,0.793,0.0952,0.0125,0.677,123.941,2019
Clean White Noise - Loopable with no fade,"['Erik Eriksson', 'White Noise Baby Sleep', 'White Noise for Babies']",0.0,0.00342,0.111,0.791,0.0,0.0,2017
ROXANNE,['Arizona Zervas'],0.621,0.601,0.46,0.0522,0.457,116.735,2019
Before You Go,['Lewis Capaldi'],0.459,0.575,0.0885,0.604,0.183,111.881,2019
Lemon Pepper Freestyle (feat. Rick Ross),"['Drake', 'Rick Ross']",0.77,0.637,0.171,0.103,0.431,94.966,2021
