name,artists,popularity,tempo
Disco Arranhado - Funk Remix,"['Malu', 'DJ Lucas Beat']",85,129.96
Slumber Party (feat. Princess Nokia),"['Ashnikko', 'Princess Nokia']",85,105.012
As I Am (feat. Khalid),"['Justin Bieber', 'Khalid']",85,99.928
Calling My Phone,"['Lil Tjay', '6LACK']",85,104.949
"L-Gante: Bzrp Music Sessions, Vol.38","['Bizarrap', 'L-Gante']",85,87.913
On The Ground,['ROSÉ'],85,188.7
When I Was Your Man,['Bruno Mars'],85,72.795
Can't Hold Us - feat. Ray Dalton,['Macklemore & Ryan Lewis'],85,146.078
Locked out of Heaven,['Bruno Mars'],85,143.994
Mood (feat. iann dior),"['24kGoldn', 'iann dior']",85,91.007
Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",85,89.911
No Role Modelz,['J. Cole'],85,100.45
Photograph,['Ed Sheeran'],85,107.989
Thunder,['Imagine Dragons'],85,167.997
Everybody Dies In Their Nightmares,['XXXTENTACION'],85,129.953
Cloud 9,['Beach Bunny'],85,80.974
Kings & Queens,['Ava Max'],85,129.857
Monster (Shawn Mendes & Justin Bieber),"['Shawn Mendes', 'Justin Bieber']",85,145.765
Don't Start Now,['Dua Lipa'],85,123.95
Explícito,['Myke Towers'],85,95.007
Hawái,['Maluma'],85,180.066
Heat Waves,['Glass Animals'],85,80.87
Moonlight,['XXXTENTACION'],85,128.009
