name,artists,popularity,valence
rockstar (feat. 21 Savage),"['Post Malone', '21 Savage']",86,0.129
Girls Like Us,['Zoe Wees'],86,0.171
LOCATION,"['KAROL G', 'Anuel AA', 'J Balvin']",86,0.654
Travesuras - Remix,"['Nio Garcia', 'Casper Magico', 'Ozuna', 'Wisin & Yandel', 'Myke Towers', 'Flow La Movie']",86,0.473
Cover Me In Sunshine,"['P!nk', 'Willow Sage Hart']",86,0.314
Wasted Love (feat. Lagique),"['Ofenbach', 'Lagique']",86,0.54
If the World Was Ending - feat. Julia Michaels,"['JP Saxe', 'Julia Michaels']",86,0.604
when the party's over,['Billie Eilish'],86,0.198
Dior,['Pop Smoke'],86,0.648
Star Shopping,['Lil Peep'],86,0.323
Don't Start Now,['Dua Lipa'],86,0.677
Clean White Noise - Loopable with no fade,"['Erik Eriksson', 'White Noise Baby Sleep', 'White Noise for Babies']",86,0.0
ROXANNE,['Arizona Zervas'],86,0.457
Before You Go,['Lewis Capaldi'],86,0.183
Lemon Pepper Freestyle (feat. Rick Ross),"['Drake', 'Rick Ross']",86,0.431
Fan de Tus Fotos,"['Nicky Jam', 'Romeo Santos']",86,0.431
Además de Mí - Remix,"['Rusherking', 'KHEA', 'Duki', 'Maria Becerra', 'Lit Killah', 'Tiago PZK']",86,0.405
PROBLEMA,['Daddy Yankee'],86,0.842
Antes,"['Anuel AA', 'Ozuna']",85,0.67
Machu Picchu,"['Camilo', 'Evaluna Montaner']",85,0.867
Kiss Me More (feat. SZA),"['Doja Cat', 'SZA']",85,0.742
Love Story (Taylor’s Version),['Taylor Swift'],85,0.416
Disco Arranhado - Funk Remix,"['Malu', 'DJ Lucas Beat']",85,0.904
Slumber Party (feat. Princess Nokia),"['Ashnikko', 'Princess Nokia']",85,0.563
As I Am (feat. Khalid),"['Justin Bieber', 'Khalid']",85,0.109
Calling My Phone,"['Lil Tjay', '6LACK']",85,0.202
"L-Gante: Bzrp Music Sessions, Vol.38","['Bizarrap', 'L-Gante']",85,0.761
On The Ground,['ROSÉ'],85,0.286
When I Was Your Man,['Bruno Mars'],85,0.387
Can't Hold Us - feat. Ray Dalton,['Macklemore & Ryan Lewis'],85,0.847
Locked out of Heaven,['Bruno Mars'],85,0.867
Mood (feat. iann dior),"['24kGoldn', 'iann dior']",85,0.732
Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",85,0.913
No Role Modelz,['J. Cole'],85,0.463
Photograph,['Ed Sheeran'],85,0.201
Thunder,['Imagine Dragons'],85,0.288
Everybody Dies In Their Nightmares,['XXXTENTACION'],85,0.689
Cloud 9,['Beach Bunny'],85,0.902
Kings & Queens,['Ava Max'],85,0.457
Monster (Shawn Mendes & Justin Bieber),"['Shawn Mendes', 'Justin Bieber']",85,0.549
Don't Start Now,['Dua Lipa'],85,0.679
Explícito,['Myke Towers'],85,0.422
Hawái,['Maluma'],85,0.545
Heat Waves,['Glass Animals'],85,0.531
Moonlight,['XXXTENTACION'],85,0.711
