name,artists,popularity,danceability
Come & Go (with Marshmello),"['Juice WRLD', 'Marshmello']",86,0.625
La Curiosidad,"['Jay Wheeler', 'DJ Nelson', 'Myke Towers']",86,0.845
Coração Na Cama,['Hugo & Guilherme'],86,0.764
hot girl bummer,['blackbear'],86,0.782
Polvo,"['Nicky Jam', 'Myke Towers']",86,0.763
Love Not War (The Tampa Beat),"['Jason Derulo', 'Nuka']",86,0.738
Godzilla (feat. Juice WRLD),"['Eminem', 'Juice WRLD']",86,0.808
Snowman,['Sia'],86,0.716
Esquema Preferido,"['DJ Ivis', 'Tarcísio do Acordeon']",86,0.669
rockstar (feat. 21 Savage),"['Post Malone', '21 Savage']",86,0.585
Girls Like Us,['Zoe Wees'],86,0.444
LOCATION,"['KAROL G', 'Anuel AA', 'J Balvin']",86,0.772
Travesuras - Remix,"['Nio Garcia', 'Casper Magico', 'Ozuna', 'Wisin & Yandel', 'Myke Towers', 'Flow La Movie']",86,0.739
Cover Me In Sunshine,"['P!nk', 'Willow Sage Hart']",86,0.476
Wasted Love (feat. Lagique),"['Ofenbach', 'Lagique']",86,0.734
If the World Was Ending - feat. Julia Michaels,"['JP Saxe', 'Julia Michaels']",86,0.464
when the party's over,['Billie Eilish'],86,0.367
Dior,['Pop Smoke'],86,0.548
Star Shopping,['Lil Peep'],86,0.585
Don't Start Now,['Dua Lipa'],86,0.794
Clean White Noise - Loopable with no fade,"['Erik Eriksson', 'White Noise Baby Sleep', 'White Noise for Babies']",86,0.0
ROXANNE,['Arizona Zervas'],86,0.621
Before You Go,['Lewis Capaldi'],86,0.459
Lemon Pepper Freestyle (feat. Rick Ross),"['Drake', 'Rick Ross']",86,0.77
Fan de Tus Fotos,"['Nicky Jam', 'Romeo Santos']",86,0.728
Además de Mí - Remix,"['Rusherking', 'KHEA', 'Duki', 'Maria Becerra', 'Lit Killah', 'Tiago PZK']",86,0.397
PROBLEMA,['Daddy Yankee'],86,0.773
Antes,"['Anuel AA', 'Ozuna']",85,0.817
Machu Picchu,"['Camilo', 'Evaluna Montaner']",85,0.788
Kiss Me More (feat. SZA),"['Doja Cat', 'SZA']",85,0.762
Love Story (Taylor’s Version),['Taylor Swift'],85,0.626
Disco Arranhado - Funk Remix,"['Malu', 'DJ Lucas Beat']",85,0.747
Slumber Party (feat. Princess Nokia),"['Ashnikko', 'Princess Nokia']",85,0.964
As I Am (feat. Khalid),"['Justin Bieber', 'Khalid']",85,0.595
