name,artists,popularity,tempo
Tainted Love,['Soft Cell'],76,144.438
Rebel Rebel - 2016 Remaster,['David Bowie'],76,125.988
Devuélveme a mi chica,['Hombres G'],76,172.676
Don't You (Forget About Me),['Simple Minds'],76,111.346
I Want To Break Free - Single Remix,['Queen'],76,108.95
Radio Ga Ga - Remastered 2011,['Queen'],76,112.344
Born in the U.S.A.,['Bruce Springsteen'],76,122.093
Give A Little Bit,['Supertramp'],76,90.767
Heroes - 2017 Remaster,['David Bowie'],76,112.114
We Are The Champions - Remastered 2011,['Queen'],76,64.177
Purple Rain,['Prince'],76,113.066
Bohemian Rhapsody - Remastered 2011,['Queen'],76,143.883
Carry on Wayward Son,['Kansas'],76,126.755
Break My Stride,['Matthew Wilder'],76,110.077
Maniac,['Michael Sembello'],76,158.86
Wanted Dead Or Alive,['Bon Jovi'],75,150.056
Boys Don't Cry,['The Cure'],75,168.766
We're Not Gonna Take It,['Twisted Sister'],75,149.186
Boogie Wonderland,['Earth Wind & Fire' 'The Emotions'],75,131.715
Bennie And The Jets - Remastered 2014,['Elton John'],75,132.642
Angie,['The Rolling Stones'],75,136.302
Rock with You - Single Version,['Michael Jackson'],75,114.031
Escape (The Pina Colada Song),['Rupert Holmes'],75,138.714
Blackbird - Remastered 2009,['The Beatles'],75,93.699
Layla,['Derek & The Dominos'],75,115.669
Cecilia,['Simon & Garfunkel'],75,102.762
House of the Rising Sun,['The Animals'],75,117.363
Father And Son,['Yusuf / Cat Stevens'],75,136.243
Twist And Shout - Remastered 2009,['The Beatles'],75,124.631
Can't Fight This Feeling,['REO Speedwagon'],75,156.344
Pour Some Sugar On Me - Remastered 2017,['Def Leppard'],75,84.989
Alone,['Heart'],75,175.088
Sweet Child O' Mine,"[""Guns N' Roses""]",75,125.303
Go Your Own Way - 2004 Remaster,['Fleetwood Mac'],75,135.448
Another Day in Paradise - 2016 Remaster,['Phil Collins'],75,101.967
This Charming Man - 2011 Remaster,['The Smiths'],75,103.912
Let's Groove,['Earth Wind & Fire'],75,125.035
I'm a Believer - 2006 Remaster,['The Monkees'],75,80.106
Jamming,['Bob Marley & The Wailers'],75,123.583
Barracuda,['Heart'],75,137.148
Smoke On The Water - Remastered 2012,['Deep Purple'],75,114.169
Don't You Want Me,['The Human League'],75,117.656
