California Love - Original Version,"['2Pac', 'Roger', 'Dr. Dre']",0.763,0.85,0.371,0.0304,0.761,91.519,1998
Symphony Of Destruction,['Megadeth'],0.61,0.891,0.0657,0.000805,0.51,139.903,1992
Tatuajes,['Joan Sebastian'],0.8,0.464,0.131,0.741,0.87,100.718,1996
Hallelujah,['Jeff Buckley'],0.324,0.136,0.176,0.931,0.0831,97.256,1994
Learning To Fly,['Tom Petty and the Heartbreakers'],0.651,0.766,0.362,0.206,0.949,116.74,1991
Jeremy,['Pearl Jam'],0.285,0.846,0.182,0.0404,0.287,108.808,1991
Shiny Happy People,['R.E.M.'],0.452,0.909,0.23,0.0313,0.805,124.623,1991
Lithium,['Nirvana'],0.678,0.656,0.0631,0.00174,0.485,123.207,1991
Whiskey In The Jar,['Metallica'],0.511,0.97,0.18,5.6e-06,0.566,132.986,1998
One Week,['Barenaked Ladies'],0.702,0.898,0.0917,0.00854,0.731,112.845,1998
Amor Prohibido,['Selena'],0.681,0.504,0.142,0.669,0.705,89.994,1994
Why Don't You Get A Job,['The Offspring'],0.766,0.882,0.281,0.0674,0.544,107.932,1998
Ready or Not,"['Fugees', 'Ms. Lauryn Hill', 'Wyclef Jean', 'Pras']",0.607,0.422,0.0839,0.209,0.563,130.47,1996
Save Tonight,['Eagle-Eye Cherry'],0.547,0.707,0.285,8.14e-05,0.654,119.576,1998
Lovefool,['The Cardigans'],0.704,0.636,0.35,0.0344,0.89,111.845,1996
Insane in the Brain,['Cypress Hill'],0.897,0.612,0.0894,0.0297,0.767,102.305,1993
Cryin',['Aerosmith'],0.445,0.856,0.367,0.000202,0.486,105.872,1993
Fields Of Gold,['Sting'],0.651,0.339,0.0739,0.372,0.32,103.996,1993
The Beautiful People,['Marilyn Manson'],0.621,0.834,0.0611,0.000779,0.937,143.973,1996
Interstate Love Song - 2019 Remaster,['Stone Temple Pilots'],0.215,0.927,0.126,0.000273,0.49,170.814,1994
La Media Vuelta,['Luis Miguel'],0.631,0.683,0.0994,0.291,0.708,97.959,1994
Coco Jamboo,['Mr. President'],0.832,0.838,0.152,0.0791,0.965,100.021,1996
Barbie Girl,['Aqua'],0.812,0.879,0.366,0.0167,0.962,129.991,1997
Dear Mama,['2Pac'],0.773,0.54,0.131,0.371,0.322,84.115,1995
"Love Is All Around - From ""Four Weddings And A Funeral""",['Wet Wet Wet'],0.523,0.689,0.109,0.228,0.547,84.09,1995
Du hast,['Rammstein'],0.64,0.922,0.332,0.00369,0.716,125.105,1997
De Música Ligera - Remasterizado 2007,['Soda Stereo'],0.536,0.749,0.272,0.000638,0.796,124.235,1990
I'll Stand by You,"['Pretenders', 'Bob Clearmountain']",0.438,0.606,0.0754,0.3,0.266,133.822,1994
Amiga mía,['Alejandro Sanz'],0.629,0.703,0.11,0.519,0.402,144.016,1997
Freed From Desire,['Gala'],0.704,0.861,0.0992,0.587,0.636,128.99,1997
Fantasy,['Mariah Carey'],0.669,0.727,0.123,0.139,0.807,102.322,1995
Bullet With Butterfly Wings - Remastered 2012,['The Smashing Pumpkins'],0.404,0.72,0.0466,5.59e-05,0.475,121.864,1995
Streets of Philadelphia - Single Edit,['Bruce Springsteen'],0.741,0.29,0.0924,0.294,0.443,93.699,1995
Push The Feeling On - Mk Dub Revisited Edit,"['Nightcrawlers', 'MK']",0.793,0.5,0.186,0.028,0.833,123.017,1995
"Danger Zone - From ""Top Gun"" Original Soundtrack",['Kenny Loggins'],0.544,0.897,0.13,0.241,0.647,157.17,1997
En El Muelle De San Blas,['Maná'],0.64,0.693,0.0978,0.113,0.698,97.159,1997
Hit 'Em Up - Single Version,"['2Pac', 'Outlawz']",0.916,0.844,0.0778,0.0394,0.586,95.19,1998
Waterfalls,['TLC'],0.769,0.505,0.0777,0.311,0.757,171.804,1994
Alright,['Supergrass'],0.467,0.958,0.299,0.000479,0.701,145.92,1995
Fly Away,['Lenny Kravitz'],0.587,0.872,0.622,0.018,0.735,159.925,1998
Chattahoochee,['Alan Jackson'],0.606,0.706,0.16,0.362,0.819,174.533,1992
Gettin' Jiggy Wit It,['Will Smith'],0.881,0.874,0.154,0.0175,0.858,107.891,1997
Every Time You Go Away - Radio Edit,['Paul Young'],0.572,0.721,0.216,0.187,0.844,164.252,1991
End Of The Road,['Boyz II Men'],0.64,0.427,0.0579,0.0664,0.529,149.703,1991
Two Princes,['Spin Doctors'],0.543,0.912,0.0565,0.00162,0.836,103.731,1991
Walking in Memphis,['Marc Cohn'],0.567,0.512,0.296,0.545,0.334,130.271,1991
Ode To My Family,['The Cranberries'],0.364,0.45,0.282,0.0598,0.139,94.188,1994
Check Yo Self - Remix,"['Ice Cube', 'Das EFX']",0.934,0.735,0.107,0.031,0.768,101.368,1994
Cotton Eye Joe,['Rednex'],0.729,0.936,0.0367,0.0129,0.598,131.986,1994
Hero,['Mariah Carey'],0.501,0.378,0.119,0.735,0.178,119.987,1993
Rayando El Sol,['Maná'],0.643,0.809,0.154,0.45,0.499,112.677,1990
"What Is Love - 7"" Mix",['Haddaway'],0.683,0.772,0.203,0.0222,0.737,123.871,1993
They Don't Care About Us,['Michael Jackson'],0.859,0.905,0.322,0.205,0.731,89.946,1995
Would?,['Alice In Chains'],0.305,0.833,0.091,0.000327,0.586,100.675,1992
Harvest Moon,['Neil Young'],0.648,0.309,0.124,0.526,0.407,112.929,1992
Cowboys from Hell,['Pantera'],0.415,0.908,0.082,0.00437,0.437,114.816,1990
Piensa En Mí,['Grupo Mojado'],0.72,0.538,0.0654,0.348,0.805,80.096,1996
Tengo Todo Excepto a Ti,['Luis Miguel'],0.542,0.665,0.177,0.522,0.417,147.977,1990
Can I Kick It?,['A Tribe Called Quest'],0.848,0.666,0.129,0.173,0.744,96.662,1990
Don't Look Back in Anger - Remastered,['Oasis'],0.327,0.938,0.148,0.0708,0.326,162.937,1995
Push,['Matchbox Twenty'],0.42,0.672,0.108,0.0067,0.476,168.019,1996
