name,artists,popularity,energy
The Beautiful People,['Marilyn Manson'],73,0.834
Interstate Love Song - 2019 Remaster,['Stone Temple Pilots'],73,0.927
La Media Vuelta,['Luis Miguel'],73,0.683
Coco Jamboo,['Mr. President'],73,0.838
Barbie Girl,['Aqua'],73,0.879
Dear Mama,['2Pac'],73,0.54
"Love Is All Around - From ""Four Weddings And A Funeral""",['Wet Wet Wet'],73,0.689
Du hast,['Rammstein'],73,0.922
De Música Ligera - Remasterizado 2007,['Soda Stereo'],73,0.749
I'll Stand by You,"['Pretenders', 'Bob Clearmountain']",73,0.606
Amiga mía,['Alejandro Sanz'],73,0.703
Freed From Desire,['Gala'],73,0.861
Fantasy,['Mariah Carey'],73,0.727
Bullet With Butterfly Wings - Remastered 2012,['The Smashing Pumpkins'],73,0.72
Streets of Philadelphia - Single Edit,['Bruce Springsteen'],73,0.29
Push The Feeling On - Mk Dub Revisited Edit,"['Nightcrawlers', 'MK']",73,0.5
"Danger Zone - From ""Top Gun"" Original Soundtrack",['Kenny Loggins'],73,0.897
En El Muelle De San Blas,['Maná'],73,0.693
Hit 'Em Up - Single Version,"['2Pac', 'Outlawz']",73,0.844
Waterfalls,['TLC'],73,0.505
Alright,['Supergrass'],73,0.958
Fly Away,['Lenny Kravitz'],72,0.872
Chattahoochee,['Alan Jackson'],72,0.706
Gettin' Jiggy Wit It,['Will Smith'],72,0.874
Every Time You Go Away - Radio Edit,['Paul Young'],72,0.721
End Of The Road,['Boyz II Men'],72,0.427
Two Princes,['Spin Doctors'],72,0.912
Walking in Memphis,['Marc Cohn'],72,0.512
Ode To My Family,['The Cranberries'],72,0.45
Check Yo Self - Remix,"['Ice Cube', 'Das EFX']",72,0.735
Cotton Eye Joe,['Rednex'],72,0.936
Hero,['Mariah Carey'],72,0.378
Rayando El Sol,['Maná'],72,0.809
"What Is Love - 7"" Mix",['Haddaway'],72,0.772
They Don't Care About Us,['Michael Jackson'],72,0.905
Would?,['Alice In Chains'],72,0.833
Harvest Moon,['Neil Young'],72,0.309
Cowboys from Hell,['Pantera'],72,0.908
Piensa En Mí,['Grupo Mojado'],72,0.538
Tengo Todo Excepto a Ti,['Luis Miguel'],72,0.665
Can I Kick It?,['A Tribe Called Quest'],72,0.666
Don't Look Back in Anger - Remastered,['Oasis'],72,0.938
Push,['Matchbox Twenty'],72,0.672
